seen_ancestors
811
11119
28722
34697
57302
76032
83854
95094
120865
143593
156887
195605
208595
264395
270373
304877
331917
360669
399114
426184
469297
495490
615267
672550
729163
789009
851143
912560
935098
907292
1042462
1006974
1025969
1088573
1305450
1356314
1446303
