seen_descendants
69760
64778
65602
48568
61412
65304
57474
56484
66810
70863
70350
82490
77378
94808
89744
95862
96422
97694
101032
100755
109001
110954
146465
152540
156845
164950
166541
167799
163807
143834
173787
157493
157894
167514
219742
224871
253548
